ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
1,INSTITUTO BRASILEIRO DE AUTÔNOMASPROFISSIONAL ESTADO DE SP,AL DOS GUATAS,659,,04053-040,+55 11 2577-0449,,,,35460898,EDUCAÇÃO A DISTÂNCIA
2,SAO PEDRO APOSTOLO - OASPA,AV ALBERTO RAMOS,614,,03222-000,,,,,35572342,EDUCAÇÃO COMPLEMENTAR
3,SAO JORGE CEI,AV ALEIXOS JAFET,1159,,05187-010,+55 11 2305-2070,,,,35572469,PRIVADA COMUNITÁRIA
4,ESCOLA DE EDUCACAO INFANTIL J B MONTEIRO LOBATO,AV ANACE,166,,05755-090,+55 11 5845-2318,,,escola-lobato@ig.com.br,35576888,EP
5,QUADRANGULAR,AV ANACE,551,,05755-090,,,,,35570333,EDUCAÇÃO COMPLEMENTAR
6,RAIO DE SOL CEI II MESTRE PAULO FREIRE,AV ANTONELO DA MESSINA,1137,,02318-000,,,,a.plasafilho@gmail.com,35563079,CR.P.CONV
7,NOSSA SENHORA DO DIVINO PRANTO,AV ANTONIO RICARDO DA SILVA,287,,08270-560,,,,,35572548,EDUCAÇÃO COMPLEMENTAR
8,SAB - SAPOPEMBA,AV ARQUITETO NOVA ARTIGAS,975,,03927-240,,,,,35575616,EDUCAÇÃO COMPLEMENTAR
9,CAMINHO DA SABEDORIA COLEGIO,AV ATILIO BRUGNOLI,S/N,LOTE 11 QUADR,02996-010,+55 11 3928-4711,,,,35564539,EP
10,VILA CRIANCA FELIZ,AV BATISTA MACIEL,162,,04459-110,,,,,35573991,EDUCAÇÃO COMPLEMENTAR
11,CEI SABER VIVER II,AV BENEDITO DE LIMA,133,,05376-020,,,,ceisaberviver2@gmail.com,35576426,PRIVADA COMUNITÁRIA
12,SANTA RITA DE CASSIA,AV BERNA,192,,04774-020,,,,,35572652,EDUCAÇÃO COMPLEMENTAR
13,CEAD CENTRO DE ENSINO A DISTÂNCIA,AV BRIGADEIRO FARIA LIMA,544,,05426-100,+55 11 3814-0202,,,,35255476,EDUCAÇÃO A DISTÂNCIA
14,FACULDADE PAULISTA DE ARTES,AV BRIGADEIRO LUIS ANTONIO,1224,,01318-001,+55 11 3287-4455,+55 11 3285-0130,,vera.fpa@terra.com.br,35577510,PRONATEC/IES
15,PERATUBA I CENTRO MUNICIPAL DE EDUCACAO INFANTIL,AV CAPORANGA,30,,04951-010,,,,,35569021,CEMEI
16,BELEZINHA III CENTRO DE EDUCACAO INFANTIL,AV CARLOS LACERDA,1610,,05789-000,+55 11 98183-0996,,,ceibelezinha3@gmail.com,35567826,CR.P.CONV
17,CASA JOSE COLTRO,AV CARLOS LACERDA,3094,,05789-001,,,,,35575343,EDUCAÇÃO COMPLEMENTAR
18,CENTRO ATEND SOCIOED ADOLESC GOVERNADOR MARIO COVAS UI,AV CONDESSA ELISABETH DE ROBIANO,450,,03074-000,,,,,35566998,FEBEM-UI
19,ZILDA ARNS NEUMANN,AV CORONEL SEZEFREDO FAGUNDES,14105,,02306-005,,,,,35573309,EDUCAÇÃO COMPLEMENTAR
20,AMIGOS DA ESPERANCA,AV CESAR AUGUSTO ROMARO,164,ANTIGO 25,08062-000,,,,,35573310,EDUCAÇÃO COMPLEMENTAR
21,ENSINANDO E APRENDENDO - JARDIM SAO CARLOS,AV CESAR AUGUSTO ROMARO,172,,08062-190,,,,,35573322,EDUCAÇÃO COMPLEMENTAR
22,LIDIA CRUZ COLEGIO,AV COMANDANTE ANTONIO PAIVA SAMPAIO,599,,02269-000,+55 11 2982-0238,,,colegiolidiacruz@hotmail.com,35429570,EP
23,CAMINHANDO PARA O FUTURO CENTRO DE EDUCACAO INFANTIL,AV COMANDANTE ANTONIO PAIVA SAMPAIO,820,,02269-000,+55 11 2243-3734,,,,35499572,CR.P.CONV
24,CAPAO REDONDO CEMEI,AV COMENDADOR SANTANA,745,,0586-000,,,,,35574211,CEMEI
25,MARCIA MUNIZ ESCOLA DE EDUCACAO INFANTIL,AV CONCEICAO,222,,02072-000,+55 11 2218-1851,,,administracao@eeimarciamuniz.com.br,35569720,EP
26,ARTE SAO PAULO ESCOLA,AV CONSELHEIRO RODRIGUES ALVES,297,,04014-000,+55 11 5571-7177,,,,35343959,EP
27,CRISTO REI COLEGIO,AV CONSELHEIRO RODRIGUES ALVES,658,,04014-002,+55 11 5579-4935,+55 11 5579-6751,+55 11 5579-5805,colegio@colcristorei.com.br,35105028,PRIVADA - FILANTRÓPICA
28,ALEGRIA,AV DA LIBERDADE,345,,01503-000,,,,,35572226,EDUCAÇÃO COMPLEMENTAR
29,AMAS - LIBERDADE,AV DA LIBERDADE,659,,01503-001,,,,,35572214,EDUCAÇÃO COMPLEMENTAR
30,ALBERT SABIN COLEGIO,AV DARCY REIS,1901,,05396-450,+55 11 3712-0713,+55 11 3712-0537,+55 11 3712-0537,secretaria@albertsabin.com.br,35124199,EP
31,ESTRELA DOURADA CENTRO DE EDUCACAO INFANTIL,AV DAS ALAMANDAS,763,,08225-310,+55 11 2553-1672,,,admestreldourada@hotmail.com,35563742,CR.P.CONV
32,MENINOS E MENINAS DO ABC AURORA,AV DAS ALAMANDAS,789,,08225-310,,,,,35572536,EDUCAÇÃO COMPLEMENTAR
33,NOVO SER CENTRO DE EDUCACAO INFANTIL,AV DEPUTADO CANTIDIO SAMPAIO,3540,,02860-001,+55 11 3924-4641,,,,35478532,CR.P.CONV
34,PARQUE DE TAIPAS,AV DEPUTADO CANTIDIO SAMPAIO,6481,,02860-001,,,,,35574892,EDUCAÇÃO COMPLEMENTAR
35,SILVIO GONZALES COLEGIO,AV DEPUTADO EMILIO CARLOS,620-,632-644,02720-000,+55 11 3857-2026,,+55 11 3857-2026,,35567516,EP
36,JOAO PAULO II,AV DILERMANDO REIS,332,,04458-030,,,,,35574053,EDUCAÇÃO COMPLEMENTAR
37,PEQUENO MUNDO III CENTRO DE EDUCACAO INFANTIL,AV DO CURSINO,3619,,04133-300,+55 11 3804-0308,,,,35568485,CR.P.CONV
38,PEQUENOS BRILHANTES CENTRO DE EDUCACAO INFANTIL,AV DO ESTADO,1471,1475,01108-000,,,,,35565179,CR.P.CONV
39,VISCONDE DE INHAUMA ALMIRANTE,AV DO GUACA,1382,,02435-001,+55 11 2231-7192,+55 11 2233-4684,+55 11 2231-7192,e000772a@educacao.sp.gov.br,35000772,EE
40,ASSOCIACAO DO BEM ESTAR SOCIAL UNIDADE II,AV DO GUACA,1392,,02435-001,+55 11 2235-0009,,,,35288251,CR.P.CONV
41,CERMAC JUNIOR COLEGIO,AV DO GUACA,624,,02435-001,+55 11 2959-5944,,,cermac@cermac.com.br,35171335,EP
42,EDUCAR CENTRO DE EDUCACAO INFANTIL,AV DOM PEDRO I,824,,01552-001,+55 11 2063-5713,,,,35562956,CR.P.CONV
43,KID S LAND RECREACAO,AV DOS EUCALIPTOS,174,,04517-050,+55 11 5096-7030,,,,35177507,EP
44,OCTAGON COLEGIO,AV DOS EUCALIPTOS,793,,04517-050,+55 11 3854-1040,,,licicortes@terra.com.br,35198959,EP
45,JARDIM SANTA TEREZINHA,AV DOS LATINOS,627,,03572-000,,,,,35572412,EDUCAÇÃO COMPLEMENTAR
46,SEGUIR SONHANDO,AV DOS METALURGICOS,1999,,08471-002,,,,,35570989,EDUCAÇÃO COMPLEMENTAR
47,MORUMBI ESCOLA UNIDADE MOEMA,AV DOS TUPINIQUINS,546,,04077-001,+55 11 3062-7070,,,diretoria@escolamorumbi.com.br,35568193,EP
48,ABC E CIA ESCOLA DE EDUCACAO INFANTIL,AV DOUTOR ALTINO ARANTES,142/,181,04042-001,+55 11 2577-9527,,+55 11 5594-5141,adm@escolaabc.net.br,35564072,EP
